oil_level_pct,temp_oil_C,temp_winding_C,voltage_A_V,voltage_B_V,voltage_C_V,current_A_A,current_B_A,current_C_A,voltage_avg_V,current_avg_A,voltage_unbal_pct,current_unbal_pct,load_pct,delta_temp_C,power_factor,resistance_pu,fault_label,fault_name
83.74,77.76,98.64,240.02,239.46,236.59,287.75,250.44,270.26,238.69,269.48,0.881,7.067,96.49,20.88,0.8917,0.9294,1,Overheating
81.37,84.42,127.94,237.47,239.49,237.77,250.35,279.87,274.08,238.24,268.1,0.524,6.62,95.82,43.52,0.8523,0.9496,1,Overheating
88.39,62.71,79.74,293.04,240.17,237.69,1.52,201.13,193.19,256.97,131.95,14.04,98.849,47.33,17.03,0.889,7.9706,4,Open_Circuit
84.19,80.99,125.85,241.27,237.4,239.07,272.93,268.33,249.5,239.24,263.59,0.845,5.344,94.6,44.86,0.8651,0.9293,1,Overheating
84.69,45.06,75.15,244.32,239.85,283.17,178.52,198.15,1.65,255.78,126.11,10.709,98.694,45.8,30.09,0.8654,10.2357,4,Open_Circuit
87.85,103.81,120.31,158.99,167.83,126.65,1210.57,1243.4,1218.29,151.16,1224.09,16.211,1.578,277.73,16.49,0.7533,0.3362,3,Short_Circuit
89.45,52.52,81.35,240.1,273.93,239.08,195.67,0.96,205.78,251.04,134.14,9.118,99.283,48.22,28.83,0.9044,20.3055,4,Open_Circuit
81.15,82.99,136.56,160.09,148.55,188.91,3066.99,3115.84,2917.06,165.85,3033.29,13.904,3.832,752.46,53.56,0.699,0.3839,3,Short_Circuit
80.84,58.33,83.72,290.75,288.41,291.66,205.0,224.62,203.73,290.27,211.12,0.643,6.395,91.9,25.39,0.8478,0.9637,5,Over_Voltage
43.95,78.76,82.79,239.24,239.83,241.1,194.67,197.57,203.15,240.06,198.47,0.434,2.361,71.47,4.03,0.8465,0.9684,2,Low_Oil_Level
86.01,76.96,96.85,232.2,229.7,221.38,441.87,438.68,479.71,227.76,453.42,2.8,5.798,154.78,19.89,0.8391,1.0776,6,Over_Current
53.03,76.77,102.94,240.71,236.0,240.53,206.8,199.1,195.44,239.08,200.45,1.287,3.168,71.89,26.17,0.8585,1.0047,2,Low_Oil_Level
87.83,63.17,82.66,309.43,305.62,311.71,211.91,206.89,211.14,308.92,209.98,1.068,1.471,97.31,19.48,0.771,1.0658,5,Over_Voltage
